id_nestbox;id_patch;site;coord_x;coord_y;year;species;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;mass;tarsus_length;wing_length;F_metric_d1b0;F_metric_d2b0;F_metric_d3b0;F_metric_d1b1;F_metric_d2b1;F_metric_d3b1;Rr_metric_d1c1;Rr_metric_d2c1;Rr_metric_d3c1;Dr_metric_c1;Dr_metric_c2;woodyveg_volume;woodyveg_vw;woodyveg_sd;woody_area;patch_area;patch_perim;herbaceous_area;manag_intensity;light_pollution;noise_m;noise_iq;traffic;built_area;build_volume;build_sd;open_area;water_area;urban_intensity;cumdd_30;cumdd_60;cumdd_between;min_t_before;min_t_between;built_volume;log_F_metric_d1b0;log_F_metric_d2b0;log_F_metric_d3b0;log_F_metric_d1b1;log_F_metric_d2b1;log_F_metric_d3b1;log_woody_vol;log_woody_vw;log_woody_area;log_patch_area;log_patch_perim;log_herb_area;sqrt_built_vol;hatching_rate;laying_day;manag_low;manag_mid;manag_high;c.log_patch_area;c.log_woody_vol;c.log_woody_area;c.log_F_metric_d2b1;c.log_F_metric_d2b0;c.clutch_size;c.laying_day;c.sqrt_built_vol;c.built_area;c.open_area;c.log_herb_area;c.noise_m;c.traffic;c.cumdd_30;c.cumdd_between;c.min_t_between
DIJ-175;66301;allee_du_parc;854364,327086245;6692451,22307753;2022;PM;2022-03-27;2022-04-30;8;8;7;14,85142857142857;18,9642857142857;45,0714285714286;21,595879480;223,195042900;1264,92737700;5683,07413900;42613,9253500;253251,162500;0,104723513;0,557025392;0,839773431;1,1736788180;2,3708738300;135496,57960;81297,9477600;4,475171037;15620;3462;1028;10395;1;3,286562135762033154;5,388890839;18,754184720;6,092450515000;14,571;181018,61210000;5,936386403;30,064;0;1,26992861900760423;2,54910000000000;430,510000000000;3,75610000000000;-1,240000000000000;-1,5600000000000001;181,01861210000;1,3343708951412585;2,348684544812660;3,10206559217307;3,75458332170522;4,62955154075586;5,40355144758089;5,13192833226138;4,91007958264503;4,19368102954128;3,53932706353938;3,01199311465926;4,01682449366749;13,454315742541498;1,000000000000000;8,6;0;1;0;0,2022673372188506;-0,08286733025903104;-0,065051941710368766;0,17060540798228185;0,2079581932614727;-1;-0,7500000000000018;3,7209295609498110;3,7445000000000004;4,54500000000000171;-6,53862229337552e-02;0,03304367100000061;3,982678234999999844;-0,094399999999999817;-0,199049999999999727;-1,52900000000000014
DIJ-176;66301;allee_du_parc;854381,502191544;6692395,39320277;2020;CC;2020-03-29;2020-05-06;12;12;7;9,45500000000000;15,7350000000000;NA;11,263605450;73,310217300;1136,09387200;3173,08522700;17337,2499400;244700,605100;0,076956299;0,412324309;0,725028042;1,6321681980;2,8401761660;139061,76480;104296,3236000;4,494608457;16549;3462;1028;11149;1;2,917406278072222747;5,150567627;15,119392400;2,919002507000;16,530;188329,01310000;5,556181811;26,422;0;1,22233800199157838;2,64820000000000;512,340000000000;5,32970000000000;0,220000000000000;0,6300000000000000;188,32901310000;1,0516774292723885;1,865164506807287;3,05541421729691;3,50148173712365;4,23898021017586;5,38863504328422;5,14320773661323;5,01826900000493;4,21877175596049;3,53932706353938;3,01199311465926;4,04723591545968;13,723301829370365;1,000000000000000;8,9;0;1;0;0,2022673372188506;-0,07158792590719010;-0,039961215291158148;-0,21996592259772019;-0,2755618447438999;3;-0,4500000000000011;3,9899156477786786;5,7035000000000018;0,90300000000000225;-3,49748011415620e-02;-0,20527954099999945;0,809230227000000468;0,004700000000000149;1,374550000000000161;0,66100000000000003
DIJ-176;66301;allee_du_parc;854381,716854799;6692395,27485112;2022;CC;2022-03-30;2022-05-10;12;11;10;7,56636363636364;16,0454545454545;34,0000000000000;11,263605450;73,310217300;1136,09387200;3173,08522700;17337,2499400;244700,605100;0,076956299;0,412324309;0,725028042;1,6321681980;2,8401761660;139061,76480;104296,3236000;4,494608457;16549;3462;1028;11149;1;2,917406278072222747;5,150567627;15,119392400;2,919002507000;16,530;188329,01310000;5,556181811;26,422;0;1,22233800199157838;2,80020000000000;469,680000000000;4,90640000000000;-1,240000000000000;-1,5600000000000001;188,32901310000;1,0516774292723885;1,865164506807287;3,05541421729691;3,50148173712365;4,23898021017586;5,38863504328422;5,14320773661323;5,01826900000493;4,21877175596049;3,53932706353938;3,01199311465926;4,04723591545968;13,723301829370365;0,916666666666667;8,9;0;1;0;0,2022673372188506;-0,07158792590719010;-0,039961215291158148;-0,21996592259772019;-0,2755618447438999;3;-0,4500000000000011;3,9899156477786786;5,7035000000000018;0,90300000000000225;-3,49748011415620e-02;-0,20527954099999945;0,809230227000000468;0,156699999999999839;0,951249999999999929;-1,52900000000000014
DIJ-177;70552;allee_du_parc;854396,828042634;6692315,49412830;2019;PM;2019-03-30;2019-05-03;8;4;0;NA;NA;NA;23,596655700;278,773719800;1434,37003300;9965,05389000;57555,5576900;292569,100400;0,129364951;0,668632191;0,880142279;0,9992732258;2,0616210930;136544,85500;81926,9130000;4,365365194;17221;2075;618;11512;1;2,826878136692070775;5,168789291;13,373924260;2,560180421000;17,780;170763,52100000;4,908478339;24,137;0;0,97363709700699674;2,80620000000000;473,160000000000;3,89810000000000;-0,367000000000000;1,0169999999999999;170,76352100000;1,3728504557686485;2,445251830101013;3,15666120332582;3,99847965166333;4,76008726641169;5,46622845632655;5,13527534060021;4,91342659098385;4,23605836673855;3,31701810104811;2,79098847508882;4,06115078092855;13,067651701816972;0,500000000000000;8,9;0;1;0;-0,0200416252724129;-0,07952032192020919;-0,022674604513095886;0,30114113363811601;0,3045254785498255;-1;-0,4500000000000011;3,3342655202252853;6,9535000000000018;-1,38199999999999790;-2,10599356726942e-02;-0,18705787699999910;0,450408141000000484;0,162700000000000067;-0,057049999999999823;1,04799999999999982
DIJ-177;70552;allee_du_parc;854396,563400046;6692315,39916867;2021;PM;2021-03-27;2021-04-29;9;8;8;12,97625000000000;17,8975000000000;38,2500000000000;23,596655700;278,773719800;1434,37003300;9965,05389000;57555,5576900;292569,100400;0,129364951;0,668632191;0,880142279;0,9992732258;2,0616210930;136544,85500;81926,9130000;4,365365194;17221;2075;618;11512;1;2,826878136692070775;5,168789291;13,373924260;2,560180421000;17,780;170763,52100000;4,908478339;24,137;0;0,97363709700699674;2,14310000000000;412,450000000000;3,30490000000000;-0,370000000000000;-1,5000000000000000;170,76352100000;1,3728504557686485;2,445251830101013;3,15666120332582;3,99847965166333;4,76008726641169;5,46622845632655;5,13527534060021;4,91342659098385;4,23605836673855;3,31701810104811;2,79098847508882;4,06115078092855;13,067651701816972;0,888888888888889;8,6;0;1;0;-0,0200416252724129;-0,07952032192020919;-0,022674604513095886;0,30114113363811601;0,3045254785498255;0;-0,7500000000000018;3,3342655202252853;6,9535000000000018;-1,38199999999999790;-2,10599356726942e-02;-0,18705787699999910;0,450408141000000484;-0,500399999999999956;-0,650249999999999773;-1,46900000000000008
DIJ-177;70552;allee_du_parc;854396,971771600;6692315,31761959;2022;CC;2022-03-30;2022-05-07;13;13;11;9,08727272727273;16,0345454545455;34,0454545454545;12,202160780;93,742209470;1284,54815100;6237,20860700;25503,3593600;280148,128500;0,093322153;0,532998525;0,782035648;1,4265077700;2,5378059090;136544,85500;81926,9130000;4,365365194;17221;2075;618;11512;1;2,826878136692070775;5,168789291;13,373924260;2,560180421000;17,780;170763,52100000;4,908478339;24,137;0;0,97363709700699674;2,80020000000000;469,680000000000;4,38230000000000;-1,240000000000000;-1,5600000000000001;170,76352100000;1,0864367431122590;1,971935185468815;3,10875038833896;3,79499026952074;4,40659739045036;5,44738772555484;5,13527534060021;4,91342659098385;4,23605836673855;3,31701810104811;2,79098847508882;4,06115078092855;13,067651701816972;1,000000000000000;8,9;0;1;0;-0,0200416252724129;-0,07952032192020919;-0,022674604513095886;-0,05234874232321829;-0,1687911660823724;4;-0,4500000000000011;3,3342655202252853;6,9535000000000018;-1,38199999999999790;-2,10599356726942e-02;-0,18705787699999910;0,450408141000000484;0,156699999999999839;0,427150000000000141;-1,52900000000000014
DIJ-178;70552;allee_du_parc;854429,070287609;6692237,06536425;2019;PM;2019-03-26;2019-05-01;10;3;3;16,96666666666667;NA;NA;23,596655700;278,773719800;1434,37003300;9965,05389000;57555,5576900;292569,100400;0,129364951;0,668632191;0,880142279;0,9992732258;2,0616210930;168586,84660;101152,1079600;4,424322466;19768;2075;618;12015;1;2,186659401186892282;5,187490845;12,793701170;2,349559057000;15,356;147401,82010000;4,628719459;23,511;0;0,54592116463082452;2,82730000000000;444,360000000000;4,08230000000000;-0,367000000000000;1,0169999999999999;147,40182010000;1,3728504557686485;2,445251830101013;3,15666120332582;3,99847965166333;4,76008726641169;5,46622845632655;5,22682368730012;5,00497493768376;4,29596273239402;3,31701810104811;2,79098847508882;4,07972377513992;12,140915126134438;0,300000000000000;8,5;0;1;0;-0,0200416252724129;0,01202802477969911;0,037229761142373086;0,30114113363811601;0,3045254785498255;1;-0,8500000000000014;2,4075289445427508;4,5295000000000005;-2,00799999999999912;-2,48694146132422e-03;-0,16835632299999936;0,239786777000000395;0,183800000000000185;0,127150000000000318;1,04799999999999982
DIJ-179;72451;allee_du_parc;854452,988287882;6692166,14311192;2020;PM;2020-03-21;2020-04-24;9;8;8;15,60000000000000;20,0300000000000;NA;26,537806640;300,035854200;1491,97563900;12063,39557000;63829,9312600;307337,831100;0,153462454;0,702545274;0,892408844;0,9175169158;1,9630236370;176233,45190;105740,0711400;4,441935255;21480;2173;662;13608;1;1,768995792093321029;5,266132736;11,609279630;2,023591103000;13,635;122998,13090000;4,897250337;21,927;0;0,23122272675438180;2,71520000000000;474,950000000000;4,08300000000000;0,220000000000000;0,5500000000000000;122,99813090000;1,4238650254045040;2,477173155888976;3,17376173202791;4,08146956897747;4,80502437672780;5,48761602210713;5,24608834787099;5,02423959825463;4,33203427702752;3,33705972632052;2,82085798943970;4,13379430060451;11,090452240553583;0,888888888888889;8,1;0;1;0;0,0000000000000000;0,03129268535057328;0,073301305775868464;0,34607824395422604;0,3364468043377893;0;-1,2500000000000018;1,3570660589618964;2,8085000000000004;-3,59199999999999875;5,15835840032697e-02;-0,08971443199999918;-0,086181176999999831;0,071699999999999875;0,127850000000000463;0,58100000000000007
DIJ-179;72451;allee_du_parc;854452,949340537;6692166,09672741;2022;PM;2022-03-27;2022-05-01;10;10;10;14,59500000000000;19,5520000000000;42,4000000000000;26,537806640;300,035854200;1491,97563900;12063,39557000;63829,9312600;307337,831100;0,153462454;0,702545274;0,892408844;0,9175169158;1,9630236370;176233,45190;105740,0711400;4,441935255;21480;2173;662;13608;1;1,768995792093321029;5,266132736;11,609279630;2,023591103000;13,635;122998,13090000;4,897250337;21,927;0;0,23122272675438180;2,54910000000000;430,510000000000;3,87930000000000;-1,240000000000000;-1,5600000000000001;122,99813090000;1,4238650254045040;2,477173155888976;3,17376173202791;4,08146956897747;4,80502437672780;5,48761602210713;5,24608834787099;5,02423959825463;4,33203427702752;3,33705972632052;2,82085798943970;4,13379430060451;11,090452240553583;1,000000000000000;8,6;0;1;0;0,0000000000000000;0,03129268535057328;0,073301305775868464;0,34607824395422604;0,3364468043377893;1;-0,7500000000000018;1,3570660589618964;2,8085000000000004;-3,59199999999999875;5,15835840032697e-02;-0,08971443199999918;-0,086181176999999831;-0,094399999999999817;-0,075849999999999529;-1,52900000000000014
DIJ-180;72451;allee_du_parc;854474,761458491;6692094,36912582;2019;CC;2019-04-01;2019-05-05;7;7;6;9,16500000000000;NA;NA;13,798807410;102,892933800;1332,96342700;8089,06366800;27926,2208500;293385,230600;0,113821036;0,570981709;0,799763601;1,3855088190;2,4578303970;184732,23110;138549,1733250;4,608858112;23253;2173;662;14493;1;1,647584449535544726;5,137620544;12,160728450;1,800105488000;11,547;103531,34680000;4,919853874;21,357;0;-0,08210199453955802;2,85400000000000;493,800000000000;3,82800000000000;-0,367000000000000;1,0169999999999999;103,53134680000;1,1398415532391111;2,012385550495753;3,12481823368244;3,90789825370683;4,44601216824525;5,46743824709973;5,26654267544931;5,14160393884101;4,36647899160859;3,33705972632052;2,82085798943970;4,16115829220618;10,175035469225648;1,000000000000000;9,1;0;1;0;0,0000000000000000;0,05174701292889239;0,107746020356944250;-0,01293396452833040;-0,1283408010554341;-2;-0,2500000000000018;0,4416492876339611;0,7205000000000013;-4,16199999999999903;7,89475756049391e-02;-0,21822662399999970;-0,309666791999999802;0,210499999999999687;-0,127149999999999430;1,04799999999999982
